iter	Passed	Remaining
429	1711	2268
430	1716	2265
431	1720	2262
432	1726	2260
433	1729	2255
434	1733	2251
435	1737	2247
436	1740	2242
437	1744	2238
438	1748	2234
439	1753	2231
440	1756	2227
441	1760	2222
442	1764	2218
443	1768	2214
444	1771	2209
445	1775	2205
446	1779	2201
447	1783	2197
448	1787	2193
449	1791	2189
450	1794	2184
451	1798	2180
452	1802	2176
453	1806	2172
454	1809	2167
455	1814	2164
456	1818	2160
457	1821	2155
458	1825	2151
459	1830	2148
460	1834	2144
461	1837	2140
462	1841	2136
463	1846	2132
464	1849	2128
465	1854	2124
466	1857	2120
467	1861	2116
468	1865	2112
469	1869	2108
470	1874	2104
471	1878	2101
472	1882	2097
473	1885	2092
474	1889	2088
475	1893	2084
476	1897	2080
477	1901	2076
478	1905	2072
479	1910	2069
480	1914	2065
481	1918	2061
482	1922	2057
483	1925	2053
484	1929	2049
485	1933	2044
486	1936	2039
487	1940	2035
488	1943	2031
489	1947	2027
490	1952	2023
491	1955	2019
492	1959	2015
493	1964	2012
494	1968	2008
495	1972	2003
496	1976	2000
497	1980	1996
498	1984	1992
499	1988	1988
500	1993	1985
501	1997	1981
502	2001	1977
503	2005	1973
504	2010	1970
505	2013	1966
506	2017	1961
507	2021	1957
508	2025	1953
509	2028	1949
510	2032	1944
511	2035	1940
512	2039	1936
513	2043	1932
514	2048	1928
515	2052	1924
516	2056	1920
517	2059	1916
518	2063	1912
519	2067	1908
520	2071	1904
521	2075	1900
522	2079	1896
523	2083	1892
524	2087	1889
525	2091	1884
526	2095	1880
527	2099	1876
528	2103	1873
529	2107	1868
530	2111	1865
531	2115	1861
532	2119	1856
533	2123	1852
534	2126	1848
535	2130	1844
536	2134	1840
537	2138	1836
538	2143	1832
539	2146	1828
540	2150	1824
541	2154	1820
542	2158	1816
543	2162	1812
544	2165	1808
545	2169	1803
546	2173	1799
547	2176	1795
548	2180	1791
549	2184	1787
550	2188	1783
551	2192	1779
552	2196	1775
553	2202	1773
554	2206	1769
555	2210	1765
556	2214	1761
557	2218	1757
558	2222	1753
559	2226	1749
560	2230	1745
561	2234	1741
562	2237	1737
563	2241	1732
564	2244	1728
565	2248	1724
566	2252	1720
567	2256	1716
568	2260	1712
569	2264	1708
570	2268	1704
571	2271	1699
572	2275	1695
573	2278	1691
574	2282	1687
575	2287	1683
576	2290	1679
577	2294	1675
578	2298	1671
579	2302	1667
580	2306	1663
581	2311	1659
582	2314	1655
583	2318	1651
584	2322	1647
585	2325	1643
586	2329	1638
587	2333	1634
588	2336	1630
589	2340	1626
590	2344	1622
591	2348	1618
592	2351	1614
593	2356	1610
594	2360	1606
595	2363	1601
596	2366	1597
597	2370	1593
598	2374	1589
599	2377	1584
600	2381	1581
601	2385	1577
602	2389	1572
603	2393	1569
604	2397	1565
605	2403	1562
606	2407	1558
607	2410	1554
608	2414	1550
609	2418	1545
610	2421	1541
611	2425	1537
612	2429	1533
613	2433	1530
614	2437	1525
615	2441	1522
616	2445	1518
617	2449	1514
618	2453	1510
619	2456	1505
620	2460	1501
621	2464	1497
622	2467	1493
623	2471	1489
624	2475	1485
625	2479	1481
626	2483	1477
627	2487	1473
628	2491	1469
629	2495	1465
630	2499	1461
631	2503	1457
632	2507	1453
633	2511	1449
634	2514	1445
635	2518	1441
636	2522	1437
637	2526	1433
638	2530	1429
639	2533	1425
640	2537	1421
641	2541	1417
642	2545	1413
643	2548	1408
644	2552	1404
645	2555	1400
646	2559	1396
647	2562	1392
648	2566	1388
649	2570	1384
650	2574	1380
651	2577	1375
652	2581	1371
653	2585	1368
654	2589	1364
655	2593	1360
656	2597	1355
657	2601	1351
658	2604	1347
659	2608	1343
660	2611	1339
661	2615	1335
662	2618	1331
663	2622	1327
664	2627	1323
665	2632	1320
666	2636	1316
667	2640	1312
668	2644	1308
669	2648	1304
670	2652	1300
671	2655	1296
672	2659	1292
673	2662	1288
674	2666	1283
675	2670	1279
676	2675	1276
677	2680	1272
678	2686	1270
679	2691	1266
680	2695	1262
681	2699	1258
682	2703	1254
683	2707	1250
684	2711	1246
685	2716	1243
