iter	RMSE
130	83797.49728
131	83738.20304
132	83685.90735
133	83604.70579
134	83516.42823
135	83436.98921
136	83379.12851
137	83330.61727
138	83201.39569
139	83110.97928
140	83048.39705
141	82982.61755
142	82915.10999
143	82844.91835
144	82751.17488
145	82679.84017
146	82630.05907
147	82571.24486
148	82519.80838
149	82457.90886
150	82373.28081
151	82319.07116
152	82262.46649
153	82201.32155
154	82133.47574
155	82029.67042
156	81946.88514
157	81899.47522
158	81856.58008
159	81793.18423
160	81699.98884
161	81637.2221
162	81577.82026
163	81523.24788
164	81466.64962
165	81411.62591
166	81310.94475
167	81273.65336
168	81227.43513
169	81178.90117
170	81121.35792
171	81064.69786
172	81028.16154
173	80981.57593
174	80909.51257
175	80861.40749
176	80793.3949
177	80733.07806
178	80645.74878
179	80613.56947
180	80560.83161
181	80515.86153
182	80457.96041
183	80401.82137
184	80349.73816
185	80307.67391
186	80243.53079
187	80202.65937
188	80157.49259
189	80113.45335
190	80059.00082
191	80015.14019
192	79979.43994
193	79940.63937
194	79892.36249
195	79860.76963
196	79826.85542
197	79759.59521
198	79716.70251
199	79681.4914
200	79628.52124
201	79601.00318
202	79553.82375
203	79499.79486
204	79447.10531
205	79409.63281
206	79366.31709
207	79327.04154
208	79263.44775
209	79221.85098
210	79183.91424
211	79141.22888
212	79101.90686
213	79073.1656
214	79030.3398
215	78999.64212
216	78950.46548
217	78918.00586
218	78884.95807
219	78853.06721
220	78794.64532
221	78752.56333
222	78692.43829
223	78664.14286
224	78622.51529
225	78583.03268
226	78556.99604
227	78520.90399
228	78483.69709
229	78449.80733
230	78391.19121
231	78357.9983
232	78298.02494
233	78261.19299
234	78237.60803
235	78180.96254
236	78136.53983
237	78086.35599
238	78028.01041
239	77971.29185
240	77937.53989
241	77896.00814
242	77859.58495
243	77836.10557
244	77795.4664
245	77748.56175
246	77714.61121
247	77679.09456
248	77648.12134
249	77617.90821
250	77590.2567
251	77569.65846
252	77536.84943
253	77502.16211
254	77473.37179
255	77437.49782
256	77410.06762
257	77383.17772
258	77351.13795
259	77320.81522
260	77278.80351
261	77247.99766
262	77204.12101
263	77168.23203
264	77141.77907
265	77108.45025
266	77087.90399
267	77061.57517
268	77041.96301
269	77013.78263
270	76990.63365
271	76948.65517
272	76928.12789
273	76894.3244
274	76852.67733
275	76822.1655
276	76794.56221
277	76761.76512
278	76724.85245
279	76689.42933
280	76664.97993
281	76617.83703
282	76596.64729
283	76572.141
284	76547.96956
285	76528.65546
286	76506.76709
287	76474.91484
288	76449.74343
289	76423.45254
290	76377.66677
291	76353.04866
292	76323.77563
293	76291.98913
294	76268.23296
295	76243.32812
296	76219.62327
297	76189.31191
298	76169.23255
299	76135.85618
300	76113.20666
301	76090.72726
302	76053.25854
303	76039.12908
304	76004.50686
305	75977.4729
306	75951.74278
307	75917.20426
308	75885.21459
309	75838.3691
310	75809.6318
311	75796.81248
312	75763.09435
313	75741.02523
314	75710.85206
315	75691.41581
316	75669.12412
317	75638.93533
318	75621.36436
319	75586.5806
320	75562.71056
321	75544.33362
322	75524.91699
323	75508.3142
324	75487.58552
325	75461.22517
326	75423.06046
327	75400.39912
328	75385.92345
329	75363.18776
330	75341.40399
331	75320.61616
332	75296.5862
333	75265.04856
334	75238.76741
335	75218.10873
336	75196.27955
337	75172.59177
338	75149.43798
339	75131.06709
340	75110.27191
341	75092.40079
342	75069.07388
343	75047.04591
344	75019.26745
345	75003.23927
346	74985.64
347	74956.03306
348	74925.63696
349	74899.09653
350	74863.14456
351	74842.26322
352	74820.5106
353	74798.29886
354	74759.99034
355	74727.19224
356	74714.62544
357	74690.31433
358	74661.54913
359	74645.36222
360	74623.57775
361	74606.18195
362	74584.58216
363	74556.76058
364	74532.32234
365	74509.54777
366	74473.07669
367	74453.84083
368	74434.02385
369	74418.19843
370	74401.07261
371	74386.83262
372	74358.88286
373	74332.99071
374	74314.02744
375	74292.77449
376	74259.97956
377	74237.37252
378	74220.15386
379	74203.01061
380	74177.2592
381	74162.92772
382	74143.56075
383	74117.83672
384	74095.11323
385	74075.42348
386	74055.99193
387	74038.29483
388	74014.54739
389	73999.63218
390	73980.23925
391	73945.52167
392	73907.49702
393	73877.82573
394	73858.95834
395	73836.73841
396	73820.43694
397	73801.86911
398	73782.20216
399	73757.19618
400	73741.53248
401	73722.97782
402	73696.79185
403	73678.73261
404	73653.63132
405	73635.9943
406	73617.2738
407	73593.05551
408	73575.98846
409	73552.15897
410	73533.41398
411	73513.80483
412	73495.83308
413	73475.82027
414	73456.91691
415	73437.86524
416	73419.28601
417	73404.67622
418	73386.65345
419	73372.06743
420	73356.17632
421	73326.66244
422	73303.56734
423	73294.00671
424	73270.50555
425	73251.39304
426	73231.40706
427	73212.81751
428	73200.92906
429	73180.18253
430	73151.02031
431	73136.20489
432	73114.99414
433	73102.58406
434	73085.48212
435	73073.38584
436	73050.83485
437	73029.1383
438	73000.6756
439	72980.19631
440	72964.81413
441	72948.62652
442	72938.75706
443	72917.52555
444	72905.21132
445	72889.04241
446	72876.85584
447	72852.97838
448	72839.51302
449	72815.60908
450	72796.69577
451	72783.37849
452	72762.74473
453	72744.02429
454	72725.82804
455	72714.25834
456	72698.28904
457	72683.09219
458	72662.22105
459	72645.77881
460	72633.06719
461	72616.39434
462	72590.13008
463	72564.65287
464	72553.48786
465	72536.14731
466	72522.46912
467	72498.11918
468	72484.04394
469	72461.7604
470	72447.6786
471	72424.50301
472	72411.73007
473	72403.01323
474	72390.07295
475	72368.26943
476	72349.82737
477	72334.55496
478	72321.80147
479	72299.16708
480	72283.49906
481	72271.55943
482	72250.49039
483	72224.86349
484	72207.74322
485	72194.74511
486	72179.15656
487	72167.40694
488	72157.26406
489	72144.11754
490	72125.79231
491	72111.41508
492	72094.06938
493	72075.25508
494	72064.57897
495	72043.75525
496	72023.48955
497	72009.24942
498	71994.28037
499	71974.52943
500	71957.11745
501	71935.47017
502	71917.97197
503	71906.02401
504	71890.65559
505	71873.23586
506	71860.37291
507	71836.7849
508	71822.70602
509	71806.78178
510	71792.9375
511	71779.39092
512	71766.14165
513	71749.13032
514	71731.71874
515	71717.9706
516	71707.74741
517	71693.73575
518	71683.51745
519	71657.18446
520	71644.69026
521	71620.9114
522	71601.78036
523	71576.25096
524	71560.63504
525	71549.3732
526	71534.31823
527	71518.62256
528	71498.59279
529	71482.68577
530	71469.23096
531	71455.49218
532	71438.04525
533	71417.58619
534	71406.9468
535	71394.27471
536	71376.38186
537	71354.5361
538	71342.17624
539	71324.54821
540	71299.17847
541	71284.77439
542	71270.41333
543	71256.1034
544	71237.65775
545	71223.54316
546	71207.80571
547	71196.93706
548	71179.61601
549	71159.74907
550	71146.60187
551	71133.97131
552	71115.37067
553	71100.11908
554	71088.80405
555	71070.82313
556	71061.03025
557	71045.45562
558	71025.21889
559	71014.55819
560	70993.78722
561	70982.51858
562	70971.38597
563	70960.69536
564	70953.4265
565	70937.4707
566	70920.1322
567	70905.33981
568	70894.67895
569	70883.13105
570	70872.37645
571	70863.10276
572	70844.3475
573	70828.90645
574	70817.7955
575	70801.60532
576	70786.82279
577	70774.70247
578	70756.43454
579	70744.06385
580	70728.25077
581	70709.45459
582	70695.55287
583	70688.08773
584	70671.04432
585	70663.37883
586	70642.67579
587	70631.24951
588	70607.90691
589	70593.75925
590	70585.10493
591	70578.47162
592	70569.75075
593	70559.25083
594	70546.86475
595	70532.26598
596	70513.30789
597	70500.62945
598	70489.98349
599	70481.29699
600	70468.44314
601	70453.71996
602	70442.81937
603	70432.15671
604	70423.75138
605	70411.27006
606	70402.53577
607	70390.92643
608	70379.02036
609	70365.09093
610	70352.96647
611	70342.83835
612	70330.11564
613	70310.57011
614	70299.37962
615	70276.60887
616	70259.65301
617	70248.96768
618	70233.17913
619	70219.93879
620	70205.60518
621	70185.37548
622	70168.80245
623	70156.65357
624	70137.85933
625	70121.10253
626	70111.44489
627	70102.29755
628	70093.50776
629	70081.97051
630	70064.08102
631	70054.05959
632	70043.27447
633	70035.29139
634	70020.67312
635	70004.36078
636	69987.09399
637	69975.95896
638	69960.60382
639	69952.74135
640	69939.19663
641	69928.32935
642	69914.02201
643	69900.7444
644	69890.25073
645	69879.97579
646	69867.03681
647	69851.11289
648	69836.72643
649	69823.11561
650	69811.04303
651	69798.82207
652	69789.12931
653	69778.84616
654	69765.9197
655	69752.40397
656	69740.67047
657	69727.83777
658	69721.08331
659	69709.29077
660	69698.46849
661	69684.28157
662	69672.0232
663	69662.68983
664	69653.81202
665	69637.85623
666	69620.71011
667	69606.95856
668	69589.49175
669	69574.75308
670	69560.07069
671	69552.04923
672	69535.55192
673	69521.36156
674	69510.04658
675	69502.25036
676	69495.65396
677	69486.20586
678	69474.89438
679	69463.89443
680	69451.27523
681	69436.53517
682	69421.41015
683	69412.4589
684	69403.81323
685	69389.39143
686	69380.53018
687	69370.30182
688	69361.85287
689	69349.2738
690	69340.38434
691	69333.57912
692	69324.36391
693	69312.35366
694	69297.6274
695	69288.88884
696	69272.59138
697	69264.2097
698	69252.52738
699	69236.1436
700	69224.93408
701	69216.42071
702	69205.98101
703	69197.06963
704	69180.53039
705	69169.9038
706	69154.68995
707	69140.08811
708	69123.89919
709	69113.14244
710	69102.76492
711	69088.34279
712	69069.99834
713	69061.35289
714	69053.15245
715	69045.47285
716	69036.53637
717	69025.7588
718	69020.77886
719	69010.61892
720	69001.5759
721	68991.13665
722	68988.75886
723	68975.41215
724	68963.75881
725	68957.19421
726	68941.79477
727	68933.8346
728	68916.94062
729	68904.88969
730	68895.21822
731	68884.48677
732	68869.99812
733	68861.22426
734	68844.55375
735	68831.72875
736	68822.2971
737	68813.23597
738	68796.16605
739	68784.66968
740	68776.22201
741	68759.36988
742	68745.93374
743	68731.47872
744	68719.27438
745	68702.81991
746	68694.90895
747	68687.50349
748	68672.16362
749	68661.8529
750	68654.53414
751	68645.57068
752	68636.32077
753	68626.72819
754	68613.90232
755	68599.01907
756	68584.1855
757	68572.29014
758	68561.27432
759	68550.02081
760	68533.89367
761	68521.32431
762	68509.39666
763	68500.2724
764	68492.0271
765	68480.94709
766	68471.18162
767	68463.19637
768	68452.26952
769	68445.7054
770	68432.97151
771	68425.63654
772	68412.71175
773	68400.18708
774	68389.42969
775	68381.67315
776	68367.97142
777	68356.96214
778	68345.64242
779	68335.25951
780	68329.1332
781	68320.85684
782	68311.14322
783	68302.78839
784	68290.08539
785	68279.41498
786	68268.32427
787	68257.45953
788	68243.15031
789	68224.40625
790	68214.79307
791	68202.03019
792	68188.14963
793	68180.513
794	68170.75773
795	68165.80973
796	68156.69364
797	68147.66552
798	68132.9868
799	68122.81264
800	68114.51907
801	68102.19767
802	68087.32837
803	68081.27558
804	68073.10871
805	68063.06074
806	68053.40081
807	68039.99397
808	68034.33963
809	68022.67149
810	68013.26877
811	67997.81844
812	67990.75617
813	67981.35149
814	67968.74288
815	67955.17869
816	67946.86543
817	67938.1606
818	67926.50501
819	67918.05622
820	67911.63133
821	67903.69154
822	67900.36678
823	67888.89104
824	67873.007
825	67864.44077
826	67852.6267
827	67844.67041
828	67836.94324
829	67829.35294
830	67819.39116
831	67811.96365
832	67801.2581
833	67787.41347
834	67781.10519
835	67765.06461
836	67753.28778
837	67744.99153
838	67738.61866
839	67730.94377
840	67721.74631
841	67712.41383
842	67703.86648
843	67692.3081
844	67679.90331
845	67671.53309
846	67661.94047
847	67653.4863
848	67647.06978
849	67637.36638
850	67625.47581
851	67617.58503
852	67611.97181
853	67601.63856
854	67586.56548
855	67580.12349
856	67574.12362
857	67563.09747
858	67550.87888
859	67541.3895
860	67531.19532
861	67525.57071
862	67517.49158
863	67507.15246
864	67499.09684
865	67491.28385
866	67481.22831
867	67469.93459
868	67462.44193
869	67452.01383
870	67444.3541
871	67433.24466
872	67425.41824
873	67415.91103
874	67405.79584
875	67395.95036
876	67387.09286
877	67378.92258
878	67370.80587
879	67359.96623
880	67351.66212
881	67342.39309
882	67334.42236
883	67322.0584
884	67310.65617
885	67303.6805
886	67297.37052
887	67289.63098
888	67282.9599
889	67272.71992
890	67265.13096
891	67260.04375
892	67254.12324
893	67247.13752
894	67239.92653
895	67228.29073
896	67219.79185
897	67209.23979
898	67199.63789
899	67191.48636
900	67182.63963
901	67173.37463
902	67167.03914
903	67158.05825
904	67150.86482
905	67139.705
906	67131.93606
907	67122.82795
908	67114.56139
909	67102.52932
910	67092.62613
911	67081.68562
912	67073.12003
913	67066.38952
914	67056.06617
915	67048.23496
916	67038.86359
917	67033.1272
918	67021.74073
919	67013.00757
920	67002.19979
921	66990.63644
922	66981.41355
923	66970.26972
924	66959.31301
925	66950.88257
926	66943.71463
927	66934.57987
928	66928.53192
929	66922.10913
930	66914.04588
931	66906.53466
932	66900.52905
933	66887.11557
934	66877.79331
935	66867.17365
936	66857.41469
937	66851.31486
938	66838.1195
939	66827.69239
940	66817.69177
941	66805.31765
942	66798.21425
943	66791.55655
944	66782.97627
945	66774.2518
946	66769.41297
947	66761.19056
948	66752.03384
949	66747.80558
950	66736.5904
951	66724.84236
952	66715.1978
953	66709.5788
954	66697.53318
955	66689.93313
956	66679.51908
957	66665.91104
958	66660.7402
959	66649.04246
960	66641.46726
961	66628.65209
962	66620.29995
963	66606.64265
964	66600.86632
965	66596.31473
966	66590.882
967	66585.30808
968	66578.73508
969	66570.03989
970	66564.95362
971	66557.03259
972	66545.92779
973	66537.19648
974	66529.71391
975	66519.15294
976	66508.66221
977	66498.79735
978	66491.26663
979	66476.96376
980	66465.43068
981	66457.06301
982	66443.0659
983	66436.09814
984	66426.84766
985	66414.48582
986	66408.87517
987	66400.80494
988	66393.25149
989	66386.82845
990	66380.58952
991	66374.3271
992	66364.45405
993	66353.96841
994	66347.31275
995	66339.45006
996	66334.39658
997	66328.6284
998	66322.32824
999	66306.16158
